标签组,主表对应字段,标签值,是否单选,标签来源状态,主表使用次数,标签说明,备注,建议处理
一级标签（战略概念）,一级标签（总领概念）,创新永续,是,词表建议且主表已使用,7,确定故事归属的战略母题,一个故事可能会兼具四种战略，但为保证检索清晰、便于使用，仍采取单选形式，可备注故事还兼具哪几种战略。,
一级标签（战略概念）,一级标签（总领概念）,医养康宁,是,词表建议且主表已使用,46,确定故事归属的战略母题,一个故事可能会兼具四种战略，但为保证检索清晰、便于使用，仍采取单选形式，可备注故事还兼具哪几种战略。,
一级标签（战略概念）,一级标签（总领概念）,商业向善,是,词表建议且主表已使用,22,确定故事归属的战略母题,一个故事可能会兼具四种战略，但为保证检索清晰、便于使用，仍采取单选形式，可备注故事还兼具哪几种战略。,
一级标签（战略概念）,一级标签（总领概念）,金融保险,是,词表建议且主表已使用,7,确定故事归属的战略母题,一个故事可能会兼具四种战略，但为保证检索清晰、便于使用，仍采取单选形式，可备注故事还兼具哪几种战略。,
一级标签（战略概念）,一级标签（总领概念）,长寿时代,是,词表建议且主表已使用,7,确定故事归属的战略母题,一个故事可能会兼具四种战略，但为保证检索清晰、便于使用，仍采取单选形式，可备注故事还兼具哪几种战略。,
二级标签（业务板块）,二级标签（业务板块）,之家,是,词表建议且主表已使用,40,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,人寿,是,词表建议且主表已使用,15,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,公益,是,词表建议且主表已使用,23,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,养老,是,词表建议且主表已使用,1,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,医疗,是,词表建议且主表已使用,6,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,口腔,是,词表建议且主表已使用,2,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,在线,是,词表建议但主表未使用,0,确定故事归属的业务主体,,
二级标签（业务板块）,二级标签（业务板块）,资产,是,词表建议且主表已使用,1,确定故事归属的业务主体,,
场景标签,场景标签,乡村振兴,是,词表建议且主表已使用,7,确定故事发生的业务场景,,
场景标签,场景标签,健康服务,是,词表建议且主表已使用,7,确定故事发生的业务场景,,
场景标签,场景标签,养老社区,是,词表建议且主表已使用,32,确定故事发生的业务场景,,
场景标签,场景标签,医院,是,词表建议且主表已使用,8,确定故事发生的业务场景,,
场景标签,场景标签,商业洞见,是,词表建议且主表已使用,13,确定故事发生的业务场景,,
场景标签,场景标签,支付理赔,是,词表建议且主表已使用,4,确定故事发生的业务场景,,
场景标签,场景标签,纪念园,是,词表建议但主表未使用,0,确定故事发生的业务场景,,
场景标签,场景标签,财富管理,是,词表建议且主表已使用,3,确定故事发生的业务场景,,
场景标签,场景标签,乡村振兴 / 精准扶贫,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,公益,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,养老社区 / 公益,是,主表出现但词表未覆盖,5,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,养老社区 / 商业洞见,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,养老社区 / 幸福有约,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,养老社区 / 康复治疗,是,主表出现但词表未覆盖,2,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,安宁疗护 / 养老社区,是,主表出现但词表未覆盖,3,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,实体经济 / 基础设施,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,溢彩公益,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,科学先生,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
场景标签,场景标签,精准扶贫,是,主表出现但词表未覆盖,1,确定故事发生的业务场景,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,党政关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,员工关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,地区关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,媒体关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,客户关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,投资者关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,法律关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,行业关系,是,词表建议但主表未使用,0,识别故事主要作用于哪类关系,,
三级标签（八大关系）,三级标签（八大关系）,党政,是,主表出现但词表未覆盖,5,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,员工,是,主表出现但词表未覆盖,14,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,地区,是,主表出现但词表未覆盖,12,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,客户,是,主表出现但词表未覆盖,37,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,投资者,是,主表出现但词表未覆盖,2,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,法律,是,主表出现但词表未覆盖,1,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
三级标签（八大关系）,三级标签（八大关系）,行业,是,主表出现但词表未覆盖,19,识别故事主要作用于哪类关系,,需确认是否纳入标准词表
四级标签（叙事类型）,四级标签（叙事类型）,公益故事,否,词表建议且主表已使用,18,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,创业故事,否,词表建议且主表已使用,4,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,创新故事,否,词表建议且主表已使用,9,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,品牌故事,否,词表建议但主表未使用,0,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,战略故事,否,词表建议且主表已使用,2,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,文化故事,否,词表建议且主表已使用,27,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,服务故事,否,词表建议且主表已使用,33,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,治理故事,否,词表建议且主表已使用,4,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,转型故事,否,词表建议且主表已使用,2,确定故事属于哪类叙事,最好单选,
四级标签（叙事类型）,四级标签（叙事类型）,风险应对故事,否,词表建议且主表已使用,5,确定故事属于哪类叙事,最好单选,
主角角色,主角角色,HWP（健康财富规划师）,是,词表建议但主表未使用,0,确定第一主角是谁,,
主角角色,主角角色,一线员工,是,词表建议且主表已使用,18,确定第一主角是谁,,
主角角色,主角角色,创始人,是,词表建议且主表已使用,25,确定第一主角是谁,,
主角角色,主角角色,客户,是,词表建议且主表已使用,37,确定第一主角是谁,,
主角角色,主角角色,溢彩康养人,是,词表建议且主表已使用,3,确定第一主角是谁,,
主角角色,主角角色,金融人,是,词表建议但主表未使用,0,确定第一主角是谁,,
主角角色,主角角色,青春养老人,是,词表建议且主表已使用,2,确定第一主角是谁,,
主角角色,主角角色,高管,是,词表建议且主表已使用,10,确定第一主角是谁,,
主角角色,主角角色,HWP,是,主表出现但词表未覆盖,3,确定第一主角是谁,,需确认是否纳入标准词表
协同角色,协同角色,HWP（健康财富规划师）,否,词表建议且主表已使用,1,识别故事中的其他角色,最好单选,
协同角色,协同角色,一线员工,否,词表建议且主表已使用,14,识别故事中的其他角色,最好单选,
协同角色,协同角色,创始人,否,词表建议且主表已使用,1,识别故事中的其他角色,最好单选,
协同角色,协同角色,客户,否,词表建议且主表已使用,1,识别故事中的其他角色,最好单选,
协同角色,协同角色,溢彩康养人,否,词表建议但主表未使用,0,识别故事中的其他角色,最好单选,
协同角色,协同角色,金融人,否,词表建议且主表已使用,1,识别故事中的其他角色,最好单选,
协同角色,协同角色,青春养老人,否,词表建议且主表已使用,1,识别故事中的其他角色,最好单选,
协同角色,协同角色,高管,否,词表建议且主表已使用,4,识别故事中的其他角色,最好单选,
关键人物名称,关键人物名称,刘挺军,是,词表建议但主表未使用,0,记录具体人物或群体,,
关键人物名称,关键人物名称,某医生,是,词表建议但主表未使用,0,记录具体人物或群体,,
关键人物名称,关键人物名称,某客户,是,词表建议但主表未使用,0,记录具体人物或群体,,
关键人物名称,关键人物名称,陈东升,是,词表建议且主表已使用,30,记录具体人物或群体,,
