序号,字段名称,字段分组,字段类型建议,是否建议必填,是否标签字段,是否敏感/内部字段,当前用途/说明,示例值,非空记录数,唯一值数量,原始字段顺序
1,编号,基础信息字段,短文本/文本（待确认）,是,否,否/待确认,故事唯一编号，用于系统主键或外部编号映射。,TK-00001 / TK-00002 / TK-00003,104,104,1
2,故事标题,基础信息字段,短文本/文本（待确认）,是,否,否/待确认,故事标题，用于列表、详情、搜索和渠道展示。,泰康之家：养老社区的硬件创新与智慧守护 / 泰康保险集团：以创新应对长寿时代 / 泰康同济（武汉）医院：用生命书写希波克拉底誓言,104,104,2
3,故事摘要,基础信息字段,长文本,是,否,否/待确认,故事摘要，用于快速浏览、搜索和汇报引用。,泰康之家养老社区目前已在全国布局36城44个项目，在住居民超2万人。为提升养老服务的效率与安全性，泰康自主研发了“泰乐OS”智慧养老系统，并配套推出智能床垫、小泰智能音箱等终端硬件。智能床垫可实时监测长者呼吸、心率及离床状态，数据异常时自动预警；小泰智能音箱支持语音紧急呼叫、双向通话和社区服务查询，已投放1.1万台。2026年3月，泰康与武汉大学联合启动“智慧养医实验室”和“泰康长寿队列”项目，依托全国2万余名居民的全维度数据，聚焦心脑血管疾病、记忆障碍等老年高发疾病开展科研攻关，探索从“被动照护”向“主动健康”的转型。 / 泰康保险集团的创新历程可分为三个波次：1996年至2000年，以“创新就是率先模仿”起步，学习国际先进经验；2000年至2007年，从模仿走向自主创新，推出“爱家之约”等家庭保障计划；2007年至今，开创“保险+医养”的原创商业模式，构建“长寿、健康、富足”三大闭环。2007年，泰康考察国际养老社区后决定进入养老领域，2012年推出“幸福有约”产品，将虚拟保险与实体医养服务衔接，2015年首家旗舰养老社区燕园开业。2024年，泰康进一步提出“新寿险”概念，在传统“支付+投资”两端基础上加入“服务”端，形成三端协同。截至2025年，泰康之家已在全国布局36城44个项目，在住居民超2万人；HWP健康财富规划师队伍超3.6万人，其中HWP优才项目覆盖117个三四线城市，累计标保超12亿元。 / 2020年2月，距离原定开业还有两个多月，泰康保险集团投资近40亿元建设的泰康同济（武汉）医院主动请缨，以“火线开业”的方式投入武汉抗疫。医院累计收治确诊患者2060名，收治量仅次于火神山与金银潭医院，在武汉市新冠肺炎定点治疗医院中位列第三。抗疫期间，1900多名医护人员与艺术家团队共同创作了高9.9米、宽6.57米的巨幅壁画《用生命书写的希波克拉底誓言》，壁画用2万米特制麻绳为基底，将这1900多个个体的真实情感定格在医院门诊大厅。2020年9月，泰康同济（武汉）医院获评“全国抗击新冠肺炎疫情先进集体”。,104,104,3
4,一级标签（总领概念）,标签字段,单选,是,是,否/待确认,确定故事归属的战略母题,医养康宁 / 商业向善 / 创新永续,89,5,4
5,二级标签（业务板块）,标签字段,单选,是,是,否/待确认,确定故事归属的业务主体,之家 / 公益 / 人寿,88,7,5
6,场景标签,标签字段,单选,待业务确认,是,否/待确认,确定故事发生的业务场景,养老社区 / 商业洞见 / 医院,92,18,6
7,三级标签（八大关系）,标签字段,单选,待业务确认,是,否/待确认,识别故事主要作用于哪类关系,客户 / 行业 / 员工,90,7,7
8,四级标签（叙事类型）,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,确定故事属于哪类叙事,服务故事 / 文化故事 / 公益故事,104,9,8
9,主角角色,标签字段,单选,待业务确认,是,否/待确认,确定第一主角是谁,客户 / 创始人 / 一线员工,98,7,9
10,协同角色,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,识别故事中的其他角色,一线员工 / 高管 / 创始人,23,7,10
11,关键人物名称,来源/人物字段,单选,待业务确认,是,是,记录具体人物或群体,陈东升 / 泰康保险集团 / 钱理群 / 崔可忻,98,63,11
